Tool Box (F),Tote A (Flowers),Tote B,Tote C ,Tote D,Tote E,CRATE,PLANE
Precision Screwdriver Set,Rivet Box*,"Polycord Box (+tread, radio, camera)*",Hardstop (orange)*,Pit Bag*,Chain Box*,long hex stock (3),Chairman's Portfolio
Goo-gone,Pneumatics Hardware Box*,Solder Box (+chain)*,Gears Stuff Box*,White Board*,Plates Stuff Box*,standard stand,Easels
Files,Zip Tie Box*,Vex Pro Box (versas/ringlight/victor)*,Mcmaster box*,Staple Bag*,Clear Screw Box*,vise,Green Suitcase 
Erwin Clamps,Encoders*,SAE Tap Set*,Red Battery Wire*,Staple Gun*,Mantis hardware bag*,tarp ,driverstation bag
Metal Clamps,Pressure Tape*,Spacer Box*,Black Battery Wire*,Paint brushes+paint*,Crappy Drill Bit Set*,white shelves,totes (4)
Flashlight,Hack Saw*,Warrior Set*,Pickup hardware bag(small)*,Red Fabric*,Electrical Stuff box*,EZ Up,totes (1)
Craftsman's square,PWM Crimp Tool*,Box End Rachets*,Wire box*,Blue Fabric*,Anderson Box*,robot,Push cart (2)
Flathead,Pneumatic Wheels*,Compressed Air*,Victors*,Bumper Bolts + Nuts Bag*,Rag Bag*,Bumpers,Safety Kit
Phillips,Grease*,Tap Fluid*,Pneumatic Tubing Bag*,Standard*,,banner,pickup
Icepick,craftsman drill bit set*,Caliper*,Versas*,Power Strips *,,Blue Banner,compressor box
Utility,rivet gun*,Blue Rachet Set*,Long Pistons*,Extension cords*,,sheet metal,    Compressor tip
Deburring tool,Tape Box*,,Air Tanks*,Mutimeter*,,big shelves,    Compressor Cord (red)
Paper ruler,Gorilla Tape,,Random Sheet Metal *,vise bit*,,Shop vac,    Compressor Cord (yellow)
Loctite,Clear Packing tape,,Sponsor panels*,Radio power cord*,,push cart (1),    Automatic rivet gun
"Bent Needlenose (Red & Black, orange)","Electrical Tape, Red",,Breakers*,Ethernet*,,Orange Safety Kit,    Compressor
Wire Crusher (orange),"Electrical Tape, Black",,Pneumatic Tubing Blue and Orange*,Ball*,,,Mrs. Arrington Portfolio
Needlenose (orange),"Painter's Tape, Blue",,Optical Sensor*,Crowbar*,,,Inspiration Box
Drill Bit row thing,Crazy glue ,,Pickup hardware bag(big)*,Crate Screws(box)*,,,Buttons
Big Needlenose (Grey),Black Rachet Set*,,,Pool noodle*,,,Blue banners (4)
Box Cutter,Drills + chargers,,,1x1 tubing*,,,toolbox
Wire Stripper/Crimper,,,,Gorilla Tape*,,,
Snub-Nose Pliers,,,,Velcro*,,,
Needlenose (green),,,,Pneumatics plate*,,,
Stab-Stab,,,,2 CIMs Box,,,
Chain Breaker,,,,4 Dry Erase Markers,,,
SAE Bit Row,,,,,,,
"Snub-Nose Pliers (orange, black-red)",,,,,,,
SAE Hex Keys x2,,,,,,,
Wire Stripper,,,,,,,
Snips,,,,,,,
Blue Vise Grip,,,,,,,
Mallet,,,,,,,
Tiny snips,,,,,,,
Hammer,,,,,,,
Ruler,,,,,,,
Measuring Tape,,,,,,,
Robo-Grip,,,,,,,
Tiny Tape Measure,,,,,,,
Aviation Snips,,,,,,,
Wago,,,,,,,
Scissors,,,,,,,